"Project ID","Project Name","Status","Points","Requirement Scope","Requirement Group","Requirement Title","Requirement Description","Weight (%)","Points (calculated)"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Common","Wymagania architektoniczne — Docker / Docker Compose","","Projekt zawiera docker-compose.yml uruchamiający minimum 4 usługi: frontend lub reverse proxy, backend, bazę danych oraz cache/kolejkę/workera. Sprawdzenie: docker compose config i docker compose ps.","12","3"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Common","Wymagania architektoniczne — Docker / Docker Compose","","Główne usługi aplikacyjne są budowane z własnych Dockerfile. Minimum jeden Dockerfile używa multi-stage build, ma .dockerignore i nie uruchamia aplikacji jako root. Sprawdzenie: krótka inspekcja plików.","16","4"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Common","Wymagania architektoniczne — Docker / Docker Compose","","Compose definiuje osobne sieci dla ruchu zewnętrznego i wewnętrznego. Ruch zewnętrzny przechodzi przez Nginx lub Traefik. Baza danych nie może mieć portu wystawionego na hosta.","14","3.5"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Common","Wymagania architektoniczne — Docker / Docker Compose","","Baza danych używa named volume. Jeżeli projekt używa plików konfiguracyjnych lub trybu developerskiego, powinien używać bind mount zgodnie z przeznaczeniem. Sprawdzenie: docker volume ls oraz docker compose config.","8","2"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Common","Wymagania architektoniczne — Docker / Docker Compose","","Projekt zawiera .env.example. Dane niepoufne są przekazywane przez zmienne środowiskowe, a hasła nie są hardkodowane w kodzie ani w Dockerfile. Preferowane użycie Docker Compose secrets.","10","2.5"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Common","Wymagania architektoniczne — Docker / Docker Compose","","Backend, baza danych i cache/kolejka mają healthcheck albo równoważny mechanizm sprawdzania gotowości. Usługi zależne startują po usługach wymaganych do działania.","8","2"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Common","Wymagania architektoniczne — Docker / Docker Compose","","README.md lub CHECKLIST.md zawiera diagram architektury, opis usług, instrukcję uruchomienia, komendy testowe i oczekiwane wyniki. Projekt musi dać się sprawdzić bez zgadywania.","8","2"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Common","Wymagania architektoniczne — Docker / Docker Compose","","Obrazy aplikacyjne są tagowane wersją lub SHA commita. Jeżeli obrazy są publikowane do rejestru, linki/tagi muszą być podane w dokumentacji.","4","1"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Common","Rzeczy dodatkowe spoza zajęć","","W docker-compose.yml ustawiono limity CPU/pamięci dla głównych usług albo opisano ograniczenia zasobów w sposób zgodny z używaną wersją Compose.","3","0.75"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Common","Rzeczy dodatkowe spoza zajęć","","Dla usług aplikacyjnych skonfigurowano politykę logowania ograniczającą rozmiar logów, np. max-size i max-file.","2","0.5"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Common","Rzeczy dodatkowe spoza zajęć","","Backend lub worker obsługuje zamknięcie procesu, np. SIGTERM, i domyka połączenia do bazy/cache. W Compose ustawiono sensowny stop_grace_period.","3","0.75"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Common","Rzeczy dodatkowe spoza zajęć","","Projekt używa profiles albo osobnych plików Compose do rozdzielenia trybu podstawowego, developerskiego lub narzędzi pomocniczych.","2","0.5"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Specific","Project-specific","","Aplikacja ma jeden główny zasób biznesowy, np. produkty, zadania, wpisy lub zamówienia. Musi obsługiwać co najmniej dodanie danych, odczyt listy danych oraz endpoint /health. Sprawdzenie: 2-3 komendy curl z CHECKLIST.md.","10","2.5"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Specific","Project-specific","","Dane zapisane przez aplikację muszą przetrwać restart środowiska wykonany przez docker compose down && docker compose up -d, bez użycia -v. Sprawdzenie: dodać rekord, zrestartować środowisko, odczytać rekord.","5","1.25"
"9f2ff3e6-3421-43ce-82b4-1f9880d884d2","project-1","draft","25","Specific","Project-specific","","Projekt zawiera jeden dodatkowy komponent wspierający aplikację: Redis, RabbitMQ, worker albo inny proces pomocniczy. Musi być jasny dowód działania, np. log workera, nagłówek cache albo zmiana statusu zadania.","5","1.25"